timestamp,elapsed_s,cpu_pct,mem_used_gb,mem_avail_gb,dm_proc_count,dm_total_rss_gb,dm_max_rss_gb,controller_alive
2026-05-15T19:16:29Z,0.0,0.0,91.38,100.62,8,31.61,6.11,1
2026-05-15T19:16:34Z,5.0,37.5,95.56,96.44,10,40.65,6.15,1
2026-05-15T19:16:39Z,10.0,46.2,98.96,93.04,11,52.20,7.08,1
2026-05-15T19:16:44Z,15.1,53.0,100.25,91.75,13,60.51,6.16,1
2026-05-15T19:16:49Z,20.1,61.9,102.38,89.62,15,59.13,7.07,1
2026-05-15T19:16:54Z,25.1,64.6,110.53,81.47,16,42.95,6.94,1
2026-05-15T19:16:59Z,30.2,71.0,114.68,77.32,18,47.69,5.75,1
2026-05-15T19:17:04Z,35.2,74.6,119.11,72.89,19,54.53,7.21,1
2026-05-15T19:17:09Z,40.3,68.3,123.62,68.38,20,53.32,5.59,1
2026-05-15T19:17:14Z,45.3,87.5,126.27,65.73,21,60.44,5.58,1
2026-05-15T19:17:20Z,50.3,85.9,127.77,64.23,21,60.65,5.41,1
2026-05-15T19:17:25Z,55.3,84.4,128.00,64.00,21,62.93,5.65,1
2026-05-15T19:17:30Z,60.4,86.0,129.65,62.35,21,63.21,4.99,1
2026-05-15T19:17:35Z,65.4,89.3,130.09,61.91,21,63.75,4.66,1
2026-05-15T19:17:40Z,70.4,91.2,129.89,62.11,21,64.26,4.60,1
2026-05-15T19:17:45Z,75.4,87.7,130.01,61.99,21,65.01,4.76,1
2026-05-15T19:17:50Z,80.5,91.0,129.80,62.20,21,64.91,4.73,1
2026-05-15T19:17:55Z,85.5,91.1,130.71,61.29,21,65.91,4.78,1
2026-05-15T19:18:00Z,90.5,88.3,131.68,60.32,21,67.42,4.87,1
2026-05-15T19:18:05Z,95.5,84.4,131.77,60.23,21,68.12,4.87,1
2026-05-15T19:18:10Z,100.6,84.1,131.69,60.31,21,68.71,4.84,1
2026-05-15T19:18:15Z,105.6,86.4,131.29,60.71,21,69.08,4.88,1
2026-05-15T19:18:20Z,110.6,85.0,131.73,60.27,21,69.95,4.88,1
2026-05-15T19:18:25Z,115.6,85.2,132.11,59.89,21,70.72,4.89,1
2026-05-15T19:18:30Z,120.7,86.4,133.31,58.69,21,68.97,4.90,1
2026-05-15T19:18:35Z,125.7,84.8,133.50,58.50,21,69.47,4.94,1
2026-05-15T19:18:40Z,130.7,85.1,133.96,58.04,21,68.73,5.15,1
2026-05-15T19:18:45Z,135.7,85.3,134.71,57.29,21,66.74,5.44,1
2026-05-15T19:18:50Z,140.7,85.2,134.51,57.49,21,65.61,5.53,1
2026-05-15T19:18:55Z,145.8,85.1,133.89,58.11,21,64.93,5.53,1
2026-05-15T19:19:00Z,150.8,86.0,133.18,58.82,21,64.39,5.53,1
2026-05-15T19:19:05Z,155.8,85.1,133.34,58.66,21,64.41,5.53,1
2026-05-15T19:19:10Z,160.8,85.4,132.86,59.14,21,64.05,5.53,1
2026-05-15T19:19:15Z,165.9,84.4,130.34,61.66,21,62.34,5.16,1
2026-05-15T19:19:20Z,170.9,84.9,130.35,61.65,21,62.34,5.16,1
2026-05-15T19:19:25Z,175.9,85.3,130.39,61.61,21,62.34,5.16,1
2026-05-15T19:19:30Z,180.9,86.1,130.40,61.60,21,62.34,5.16,1
2026-05-15T19:19:35Z,185.9,84.3,130.55,61.45,21,62.36,5.16,1
2026-05-15T19:19:40Z,191.0,85.0,130.58,61.42,21,62.37,5.16,1
2026-05-15T19:19:45Z,196.0,84.7,130.62,61.38,21,62.37,5.16,1
2026-05-15T19:19:50Z,201.0,85.0,130.77,61.23,21,62.38,5.16,1
2026-05-15T19:19:55Z,206.0,84.7,131.50,60.50,21,62.67,5.16,1
2026-05-15T19:20:00Z,211.0,86.4,131.75,60.25,21,62.78,5.16,1
2026-05-15T19:20:05Z,216.1,85.3,131.79,60.21,21,62.86,5.16,1
2026-05-15T19:20:10Z,221.1,84.4,131.84,60.16,21,62.91,5.16,1
2026-05-15T19:20:15Z,226.1,84.7,132.02,59.98,21,63.17,5.16,1
2026-05-15T19:20:20Z,231.1,82.4,128.96,63.04,20,60.11,5.16,1
2026-05-15T19:20:25Z,236.1,81.4,128.90,63.10,20,60.15,5.16,1
2026-05-15T19:20:30Z,241.2,80.3,128.90,63.10,20,60.17,5.16,1
2026-05-15T19:20:35Z,246.2,80.2,128.95,63.05,20,60.24,5.16,1
2026-05-15T19:20:40Z,251.2,82.3,129.15,62.85,20,60.26,5.16,1
2026-05-15T19:20:45Z,256.2,82.3,126.05,65.95,19,56.47,5.16,1
2026-05-15T19:20:50Z,261.2,78.6,126.44,65.56,19,56.50,5.16,1
2026-05-15T19:20:55Z,266.3,77.4,126.00,66.00,19,56.53,5.16,1
2026-05-15T19:21:00Z,271.3,77.3,126.15,65.85,19,56.58,5.16,1
2026-05-15T19:21:05Z,276.3,77.3,122.49,69.51,18,54.45,5.16,1
2026-05-15T19:21:11Z,281.3,73.6,119.86,72.14,18,50.09,5.16,1
2026-05-15T19:21:16Z,286.4,75.7,127.41,64.59,19,60.81,6.34,1
2026-05-15T19:21:21Z,291.4,75.6,122.72,69.28,18,59.63,5.97,1
2026-05-15T19:21:26Z,296.4,75.1,123.92,68.08,19,63.27,6.00,1
2026-05-15T19:21:31Z,301.4,74.6,122.38,69.62,18,63.74,6.08,1
